eng,hin
"As long as there is life, there is hope.","जब तक जान है, आशा है।"
"As long as there is life, there is hope.","जब तक जीवन है, आशा है।"
"As soon as he finished his work, he went home.",वह अपना काम खतम करते ही घर चला गया।
"As the saying goes, ""Nothing ventured, nothing gained.""","एक कहावत है, ""कुछ पाने के लिए कुछ खोना पड़ता है""।"
Astronomy is by no means a new science.,खगोल विद्या किसी भी तरह से नई विद्या नहीं है।
Athens is in Greece.,एथेंस यूनान में है।
A thick mist covered the countryside.,गाँव पर गहरा कोहरा छा गया।
"At last, he realized his mistakes.",आखिरकार उसको उसकी ग़लतियाँ समझ में आईं।
"At last, the truth became known to us.",आखिरकार हमे सच्चाई का पता चल गया।
Attaboy!,शाबाश!
Attack!,हल्ला बोल!
Attention!,सावधान!
At times I can't understand him.,मैं कभी-कभी उसको समझ नहीं पाती।
Australia exports a lot of wool.,ऑस्ट्रेलिया ऊन का बड़ी मात्रा में निर्यात करता है।
Austria is situated in Central Europe.,ऑस्ट्रिया मध्ये युरोप में स्थित है।
A woman picked my pocket in the crowd.,भीड़ में एक औरत ने मेरी जेब काट ली।
Barack Obama is the President of the United States.,बराक ओबामा संयुक्त रोज्यों के राष्ट्रपति हैं।
Barcelona is the capital city of Catalonia and the second largest city in Spain.,बार्सेलोना केटलोनिआ की राजधानी और स्पेन का दूसरा सबसे बड़ा शहर है।
Batman and Robin are friends.,बैटमैन और रॉबिन दोस्त होते हैं।
Because I want to be a translator.,क्योंकि मैं अनुवादक बनना चाहती हूँ।
Because of the rain they had to cancel the game.,बारिश की वजह से उन्हें खेल रद्द करना पड़ा।
Because there was plenty of water...,क्योंकि पानी की कोई भी कमी नहीं थी...
"Before I joined the army, I was a doctor.",सेना में दाखिल होने से पहले में एक वैद्य था।
"Belgium is called ""België"" in Flemish.","बेल्जियम को फ्लेमिश में ""बेलख़िए"" कहते हैं।"
"Believe it or not, she has three children.","मानो या न मानो, उसके तीन बच्चे हैं।"
"Believe it or not, that is true.","मानो या न मानो, यह तो सच है।"
Better to have something than nothing.,न होने से कुछ होना बेहतर है.
Bill did not commit the crime.,बिल ने अपराध नहीं किया था।
Bill is honest all the time.,बिल हमेशा ईमानदार होता है।
Bill lives near the sea.,बिल समुंदर के पास रहता है।
Bill resembles his father in character.,बिल चरित्र में अपने पिता से मिलता-जुलता है।
Birds build nests.,चिड़ियाँ घोसले बनातीं हैं।
Birds build nests.,पक्षी घोसले बनातें हैं।
Birds fly.,पंछी उड़ते हैं।
Birds sing.,पंछी गाते हैं।
Black paper absorbs light.,काला कागज प्रकाश सोखता है।
Blind people sometimes develop a compensatory ability to sense the proximity of objects around them.,कुछ नेत्रहीन व्यक्तियों में उनके आास-पास की चीज़ों की दूरी को महसूस करने की क्षतिपूरक क्षमता पैदा हो जाती है।
Blow your nose with this handkerchief.,नाक इस रुमाल में झाड़ो।
Bob could not control his temper.,बॉब अपना क्रोध काबू न कर पाया ।
Bob entered the house through a window.,बॉब घर में खिड़की से घुसा।
Bob helped me.,बॉब ने मेरी मदद की।
Both ants and termites live in large colonies.,चीटियां और दीमक दोनों एक साथ बड़े कालोनी में रहते है।
Both he and his wife have cars.,वह और उसकी पत्नी दोनो के पास गाड़ियाँ हैं।
Both of my sisters are married.,मेरी दोनो बहनें शादीशुदा हैं।
Both of us are from Germany.,हम दोनों जर्मनी से हैं।
Brazil is a big country.,ब्राज़ील एक बड़ा देश है।
"Brazil is called ""Brasil"" in Portuguese.","ब्राज़ील को पुर्त्तगाली में ""ब्रासिल"" कहते हैं।"
Brilliant!,चतुर!
"Bring me today's paper, please.",कृपया मेरे लिए आज का अख़बार लाना।
Bring tea.,चाय लाइए।
Bring tea.,चाय लाओ।
Bring the kids.,बच्चों को लाओ।
Brush your teeth after meals.,खाना खाने के बाद दाँतों को ब्रश करो।
Brush your teeth after meals.,खाना खाने के बाद दाँतों को साफ़ करो।
"Bulla, who knows who I am!","बुल्ला, की जाणा मैं कौण!"
But they will come here tomorrow.,पर वे कल यहाँ आएँगे।
But you've never told me about this!,पर तुमने मुझे यह पहले कभी बताया नहीं था!
By degrees the friendship between him and her grew into love.,"थोड़े थोड़े से, उनके बीच की दोस्ती प्यार में बदल गई।"
Bye!,बाय!
Call me when you can.,हो सके तब कॉल करना।
Canada is larger than Japan.,कनाडा जापान से बड़ा है।
Can I do anything?,मैं कुछ कर सकता हूँ क्या?
Can I extend my stay one more night?,मैं एक रात और रह सकता हूँ क्या?
Can I get you some tea?,आपके लिये थोड़ी सी चाय लाऊँ?
Can I help you?,क्या मैं आपकी मदद कर सकता हूँ?
Can I help you?,क्या मैं आपकी सहायता कर सकता हूँ?
Can I see your passport?,मैं आपका पासपोर्ट देख सकता हूँ क्या?
Can I show you something?,आपको कुछ दिखाऊं?
Can I show you something?,क्या मैं आपको कुछ दिखा सकती हूं?
Can I show you something?,क्या मैं तुम्हें कुछ दिखा सकता हूं?
Can I show you something?,क्या मैं तुम्हें कुछ दिखा सकती हूं?
Can I show you something?,तुम्हें कुछ दिखाऊं?
Can I sit with Tom?,क्या मैं टॉम के साथ बैठ सकती हूँ?
Can I speak to Tom?,क्या मैं टॉम से बात कर सकता हूँ?
Can I speak to Tom?,क्या मैं टॉम से बात कर सकती हूँ?
Can I try it?,क्या मैं कोशिश कर सकता हूं?
Can I try it?,क्या मैं कोशिश कर सकती हूं?
Can I try it?,क्या मैं कोशिश करूं?
Can I use your pencil?,मैं तुम्हारी पेनसिल इस्तेमाल कर सकता हूँ क्या?
Can't you speak English?,तुम अंग्रेज़ी नहीं बोल सकते हो क्या?
Can we effect a compromise?,हम कोई समझौता कर सकतें हैं क्या?
Can we have a talk?,हम बात कर सकते हैं क्या?
Can we save the planet?,क्या हम उस ग्रह को बचा सकते हैं?
Can you come and get me?,क्या आप मुझे लेने आ सकते हैं?
Can you come and get me?,क्या तुम मुझे लेने आ सकती हो?
Can you come and get me?,क्या तुम मुझे लेने आ सकते हो?
Can you come to the party?,तुम पार्टी में आ सकते हो क्या?
Can you count to ten in Chinese?,क्या आप चीनी भाषा में दस तक गिनती कर सकते हैं?
Can you give Tom another chance?,क्या आप टॉम को और एक मौका दे सकते हैं?
Can you give Tom another chance?,क्या तुम टॉम को और एक मौका दे सकते हो?
Can you hear anything?,कुछ सुन सकते हो?
Can you help him?,क्या आप उसकी मदद कर सकतीं हैं?
Can you help him?,क्या आप उसकी मदद कर सकते हैं?
Can you help us?,क्या आप हमारी मदद कर सकते हैं?
Can you help us?,क्या तुम हमारी मदद कर सकते हो?
Can you identify the man in this picture?,क्या तुम उस आदमी को उसकी तस्वीर से पहचान सकते हो?
Can you keep a secret?,तुम राज़ रख सकते हो क्या?
Can you lend me 500 yen?,तुम मुझे पाँच सौ येन उधार दे सकते हो क्या?
Can you move your legs?,क्या आप अपने पैर हिला सकती हैं?
Can you move your legs?,क्या आप अपने पैर हिला सकते हैं?
Can you move your legs?,क्या तुम अपने पैर हिला सकती हो?
Can you sing the song?,क्या आप वह गाना गा सकते हैं?
Can you sing the song?,क्या तुम वह गाना गा सकती हो?
Can you sing the song?,क्या तुम वह गाना गा सकते हो?
Can you sing this song?,क्या आप यह गाना गा सकते हैं?
Can you sing this song?,क्या तुम यह गाना गा सकती हो?
Can you sing this song?,क्या तुम यह गाना गा सकते हो?
Can you stand up?,क्या आप खड़े हो सकते हैं?
Can you stand up?,खड़ी हो सकती हो?
Can you tell the difference between these two pictures?,तुम इन दो तस्वीरों में अंतर बता सकते हो?
Capri is one of the most beautiful islands in Italy.,कापरी इटली में सबसे सुंदर द्वीपों में से एक है।
Carlos Slim is the world's second richest person.,कार्लोस स्लिम दुनिया के दूसरे सबसे अमीर व्यक्ति हैं।
Carrots contain a lot of vitamin A.,गाजर में बहुत सारा विटामिन ए समाया होता है।
Cats kill rats.,बिल्ली चूहें मारती हैं।
Cats like playing in the sun.,बिल्लियों को धूप में खेलना अच्छा लगता है।
Certainly.,निश्चित.
"Champagne, please.","शैंपेन, कृप्या।"
Character is much easier kept than recovered.,"चरित्र को बनाए रखना आसान है, उस के भ्रष्ट हो जाने के बाद उसे सुधारना कठिन है।"
Checkmate.,शह और मात।
"Check, please.","चेक, कृप्या।"
Cheese is made from milk.,चीज़ दूध से बनता है।
Chicken!,डरपोक!
Children love playing on the beach.,बच्चों को समुद्रतट पर खेलना बहुत पसंद आता है।
Children love to dig in the sand.,बच्चों को रेत में खोदना अच्छा लगता है।
"Children whose parents are dead are referred to as ""orphans"".","जिन बच्चों के माता-पिता की मृत्यु हो गई होती है उने ""अनाथ"" बुलाया जाता है।"
China has more than a billion inhabitants.,चीन में एक अरब से ज़्यादा निवासी हैं।
China is much larger than Japan.,चीन जापान से काफ़ी ज़्यादा बड़ा है।
China's developing too quickly.,चीन कुछ ज़्यादा ही तेज़ी से विकसित हो रहा है।
Chiqui is a good parrot.,चिकी अच्छा तोता है।
Choose one.,एक चुनिए।
Christmas is coming.,क्रिसमस आ रहा है।
Click on the link.,लिंक पर क्लिक कर।
Click on the link.,लिंक पर क्लिक कीजिए।
Climb to the top.,ऊपर तक चढ़ जाओ।
Closing your eyes helps you think better.,"आँखों को झुकाएं, ख़यालात को बुलंद करें..."
"Coincidentally enough, I know him.","इत्तेफ़ाक से, मैं उसे जानता हूँ।"
Come and join us.,आओ हमारे साथ बैठो।
Come forward.,आगे आ जाइए।
Come forward.,आगे आ जाओ।
Come home early.,जल्दी घर आजाओ।
Come near the fire.,आग के करीब आओ।
Come near the fire.,आग के पास आओ।
Come on in.,अंदर आ जाओ।
Come on! I will best you.,आओ! मैं तुम्हें हार का स्वाद चखाऊँगा।
Come on! I will show you the taste of defeat.,आओ! मैं तुम्हें हार का स्वाद चखाऊँगा।
"Come on, sit down and rest your weary legs.","आओ, बैठो और अपने थके-हारे पैरों को आराम करने दो।"
Come on!,आइए!
Come on!,आ जा!
Come over!,आ जाइए!
Come quick!,जल्दी आ!
"Come, sit by me.","आइये, मेरे पास बैठिए।"
"Come, sit by me.","आओ, मेरे पास बैठो।"
Come sit with us.,"आइए, हमारे साथ बैठिए।"
Come!,आइए!
Come!,आ जाओ!
Complete that which you can today. Don't leave it till tomorrow.,"जो आज खतम कर सकते हो, उसे करके निपटाओ। कल के लिए मत छोड़ो।"
Congratulations!,मुबारक हो!
Copy this program on your computer.,इस प्रोग्राम को अपने कंप्यूटर पर कॉपी कर लीजिए।
Correct the underlined words.,रेखांकित शब्दों को सुधारिए।
Correct!,ठीक!
Correct!,सही!
Could this be love?,क्या यह प्यार हो सकता है?
Could you bring me another hot towel?,मेरे लिए एक और गरम तौलिया ला सकते हैं क्या?
Could you get a hammer for me from the kitchen please?,रसोई में जाकर मेरे लिए एक हथौड़ा ले आओगे क्या?
Could you send someone up to make the bed?,आप किसी को बिस्तर बनाने के लिए भेज सकते हैं क्या?
Could you sign here?,यहाँ हस्ताक्षर कर सकते हैं क्या?
Could you speak more slowly?,थोड़ा धीरे बोल सकते हैं क्या?
Cows are sacred to many people in India.,भारत में कई लोग गाय को पूज्य मानते हैं।
Cross off the names of the people who have paid their dues.,"जो पैसे भर चुकें हैं, उनके नाम काट दो।"
Crows are black.,कौवे काले होते हैं।
Cut the bullshit!,बकवास बंद कर!
Cut the potatoes.,आलूओं को काटो।
Damn.,इसकी तो.
Dance is a beautiful part of every culture.,नृत्य हर एक संस्कृति का एक सुंदर भाग होता है।
Darn!,लानत करना.
Delete his name from the list.,सूची से उनका नाम मिटाओ।
Delete his name from the list.,सूची से उसका नाम मिटाइए।
Delete his name from the list.,सूची से उसका नाम मिटाओ।
Dengue is spread by Aedes aegypti mosquitoes.,डेंग्यू एइडीज़ इजिप्टाई मच्छरों से फैलता है।
Did anyone else come into the room?,कमरे में और कोई आया था क्या?
"Did Cathy go, too?",क्या कैथी भी गई थी?
Didn't you go out?,तू बाहर नहीं गया था क्या?
Didn't you know that he passed away about two years ago?,तुम्हें पता नहीं कि वे दो साल पहले ही गुज़र चुके थे?
Did Tom vote?,टॉम ने मतदान किया?
Did you do your homework?,होमवर्क किया क्या?
Did you feel the earthquake this morning?,तुम्हें आज सुबह भूकम्प महसूस हुआ क्या?
Did you find a doctor?,क्या तुम्हे कोई डॉक्टर मिला?
Did you forget that again?,वह फिर से भूल गई?
Did you forget that again?,वह फिर से भूल गई क्या?
Did you forget that again?,वह फिर से भूल गए क्या?
Did you go out last night?,क्या तुम कल रात बाहर गए थे?
Did you hear my son play the violin?,क्या तुमने मेरे बेटे को वायोलिन बजाते हुए सुना है?
Did you help Tom?,क्या आपने टॉम की मदद की?
Did you love her?,क्या तुम उनसे प्यार करती थी?
Did you love her?,क्या तुम उससे प्यार करते थे?
Did you miss me?,मेरी याद आई क्या?
Did you murder Tom?,क्या आप ने टॉम का खून किया?
Did you see any pigeons?,कोई कबूतर दिखें?
Did you see that small mouse?,आपने वह छोटा चूहा देखा?
Did you see that small mouse?,क्या तुमने वह छोटा चूहा देखा?
Did you see that small mouse?,तुमने वह छोटा चूहा देखा?
Did you study yesterday?,क्या आपने कल पढ़ाई की?
Die!,मरो!
Ding is playing on the computer.,डिंग कम्प्यूटर पर खेल रही है।
Ding is playing on the computer.,डिंग कम्प्यूटर पर खेल रहे हैं।
Does Arnold Schwarzenegger still know German?,क्या आर्नोल्ड श्वार्झनेगर को अब भी जर्मन आती है?
Does everybody understand?,क्या सभी को समझ आता है?
Does everybody understand?,क्या सभी को समझ आ रहा है?
Does Mary love me?,क्या मैरी को मुझ पर प्यार है?
Does Mary love me?,क्या मैरी मुझ से मोहब्बत करती है?
Does milk spoil quickly?,दूध जल्दी से खराब हो जाता है क्या?
Does this mean that we have to file bankruptcy?,क्या इसका मतलब हमारा दिवाला निकल गया?
Does Tom want to see me?,क्या टॉम मुझे देखना चाहता है?
Does Tom want to see me?,क्या टॉम मुझें देखना चाहते हैं?
Does your sister live there?,क्या आपकी बहन वहां रहती है?
Does your sister live there?,क्या तुम्हारी बहन वहां रहती है?
Dogs are faithful.,कुत्ते वफ़ादार होते हैं।
Do I have to stay in the hospital?,क्या मुझे अस्पताल में रहना होगा?
Doing that won't solve anything.,वैसा करने से कुछ नहीं सुलझने वाला.
Do like I tell you.,मैं जैसे कहूँ वैसे करो।
Done.,हो गया।
Do not feed the troll.,ट्रोल को ना खिलाएं।
Do not feed the troll.,ट्रोल को मत खिलाओ।
Don't add annotations.,पार्श्व-टिप्पणियाँ न जोड़ें।
Don't add sentences from copyrighted sources.,कॉपीराईट वाले सोत्रों से वाक्य न जोड़ें।
Don't ask her any questions about her marriage.,उसकी शादी के बारे में उससे कोई सवाल मत पूछना।
Don't ask her any questions about her marriage.,उसकी शादी के बारे में उससे कोई सवाल मत पूछें।
Don't ask him any questions about his marriage.,उसकी शादी के बारे में उससे कोई सवाल मत पूछना।
Don't ask me for money.,मुझसे पैसे मत माँगो।
Don't ask.,पूछिए मत।
Don't ask.,पूछो मत।
Don't be afraid of making mistakes.,ग़लतियाँ करने से मत डरो।
Don't be taken in by her crocodile tears.,उसके झूठ-मूठ के रोने पर यकीन मत कर लेना।
Don't break anything.,कुछ तोड़ना मत।
Don't break my heart.,मेरा दिल मत तोड़ो।
"Don't change sentences that are correct. You can, instead, submit natural-sounding alternative translations.","अगर कोई वाक्य सही है, उसे मत बदलिए। उसके बजाय, आप दूसरा ज़्यादा स्वाभाविक अनुवाद जोड़ सकते हैं।"
Don't come in! I'm naked.,अंदर मत आओ! मैं नंगा हूँ।
Don't come in! I'm naked.,अंदर मत आओ! मैं नंगी हूँ।
Don't come in! I'm naked.,अंदर मत आना! मैं नंगा हूँ।
Don't come in! I'm naked.,अंदर मत आना! मैं नंगी हूँ।
Don't deceive him.,उसे धोका मत दो।
Don't encourage Tom.,टॉम को बढ़ावा मत दो।
Don't even think of going there.,वहाँ भूलकर भी न जाना ।
Don't ever forget this rule.,यह नियम कभी मत भूलिएगा।
Don't expect anything original from an echo.,प्रतिध्वनि से किसी मौलिकता की आशा मत करो
Don't fail to call me back.,मुझे वापस फ़ोन करना मत भूलना।
Don't fight.,लड़ना मत।
Don't forget rule no. 72.,नियम क्र. ७२ मत भूलना.
Don't forget to come here at seven tomorrow.,कल यहाँ सात बजे आना न भूलना।
Don't forget to come here at seven tomorrow.,कल यहाँ सात बजे पहुँचना न भूलना।
Don't go down there.,वहाँ नीचे मत जाओ।
Don't laugh!,हंसो मत!
Don't lean against this wall.,इस दीवार पर मत झुँको।
Don't leave the door open.,दरवाज़े को खुला मत छोड़ो।
Don't let him talk to Taninna.,उसे तनिन्ना से बात करने मत देना।
Don't lose your temper.,नाराज़ मत हो जाओ।
Don't make noise.,शोर मत मचाओ।
Don't say anything without thinking.,बिना सोचे कुछ मत कहना।
Don't say anything!,कुछ मत कहना!
Don't say anything!,कुछ मत कहिए!
Don't say anything!,कुछ मत कहिएगा!
Don't say anything!,कुछ मत कहो!
Don't say such a thing.,ऐसी बात मत बोलो।
Don't shout.,चिल्लाईए मत।
Don't speak ill of your classmates.,अपने सहपाठियों की बुराई मत करो।
Don't start doing that.,वह काम शुरु मत करो।
Don't talk about it in front of him.,उसके सामने इसके बारे में बात मत करो।
Don't talk to Tom.,टॉम से बात मत करना।
Don't talk to Tom.,टॉम से बात मत कीजिए।
Don't tell Father about this.,पापा को इस बारे में मत बताओं।
Don't tell me.,मुझे मत बताओ।
Don't worry about me.,मेरी चिंता मत करो।
Don't worry. Tom will take care of it.,चिंता मत करो। टॉम देख लेगा।
Do they speak Spanish in Mexico?,मेक्सिको में स्पैनिश बोली जाती है क्या?
"Do whatever you want, there will be gossiping anyhow.","जो करना है करो, पर इस बात की चर्चा तो हो गी ही।"
Do you believe in fairies?,तुम परियों में विश्वास करती हो क्या?
Do you believe in God?,क्या तुम भगवान में विश्वास करते हो?
Do you believe me?,क्या तुम मेरा यकीन करते हो?
Do you hate me?,क्या आप मुझ से नफरत करते हैं?
Do you hate me?,क्या तुम मुझ से नफरत करते हो?
Do you have a mop and a bucket?,क्या आप के पास झाड़ू और बाल्टी है?
Do you have any brothers?,तुम्हारे कोई भाई हैं क्या?
Do you have any soft drinks?,तुम्हारे पास कोक-शोक है क्या?
Do you have any tickets left?,तुम्हारे पास टिकटें बचीं हैं क्या?
Do you have a pencil?,तुम्हारे पास पेनसिल है क्या?
Do you have breakfast at home?,तुम घर में नाश्ता खाते हो क्या?
Do you have children?,क्या आपके बच्चे हैं?
Do you have rice?,तुम्हारे पास चावल है क्या?
Do you have these shoes in my size?,क्या ये जूते मेरे नाप में भी मिल सकते हैं?
Do you have time on Tuesday?,तुम्हारे पास मंगलवार को समय है क्या?
Do you have to make a speech?,तुम्हे भाषण देना होगा क्या?
Do you keep your money in a bank?,क्या तुम अपने पैसे किसी बैंक में रखती हो?
Do you know how to drive a car?,क्या आपको गाड़ी चलाना आता है?
Do you know how to use a computer?,क्या आपको कम्प्यूटर का उपयोग करना आता है?
Do you know that man?,क्या तुम उस आदमी को जानती हो?
Do you know that man?,क्या तुम उस आदमी को जानते हो?
Do you know the man standing on the bridge?,तुम ब्रिज पर खड़े हुए आदमी को जानते हो क्या?
Do you know this part of the city very well?,तुम शहर के इस हिस्से को अच्छी तरह से जानते हो क्या?
Do you know who wrote this novel?,क्या आप जानते हैं यह उपन्यास किसने लिखा है?
Do you know who wrote this novel?,क्या तुम्हें पता है यह उपन्यास किसने लिखा है?
Do you know who wrote this novel?,जानती हो यह उपन्यास किसने लिखा है?
Do you know who wrote this novel?,जानते हो यह उपन्यास किसने लिखा है?
Do you like ancient history?,क्या तुम्हें प्राचीन इतिहास पसंद है?
Do you like baseball?,क्या आपको बेसबॉल पसंद है?
Do you like black cats?,क्या आपको काली बिल्लियाँ पसंद हैं?
Do you like black cats?,क्या आपको काले बिल्ले पसंद हैं?
Do you like black cats?,क्या तुम्हें काले बिल्ले पसंद हैं?
Do you like Earl Grey tea?,तुम्हें अर्ल ग्रे चाय अच्छी लगती है क्या?
Do you like New York?,क्या आपको न्यू यॉर्क पसंद आया?
Do you like sweet tea?,क्या आप मीठी चाय पसंद करते हैं?
Do you like tea?,चाय पसंद है तुम्हें?
Do you like tea?,तुम्हें चाय अच्छी लगती है?
Do you like to live in the country?,आप को गाँव में रहना पसंद है क्या?
Do you like to travel? Me too.,"क्या तुम यात्रा करना पसंद करते हो? ""मैं भी।"""
Do you live in Portugal or Brazil?,तुम पुर्त्तगाल में रहते हो या ब्राज़ील में?
